iptelnet;porta;label;rede_origem;status_telnet;status_ping;
10.192.72.14;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.15;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.16;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.17;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.18;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.19;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.20;3389;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.21;3389;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.22;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.23;3389;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.24;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.25;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.26;3389;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.27;3389;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.28;3389;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.29;3389;Tuffin 37308;10.192.72.0/24;ok;ok;
